"lang"
{
	"Language"		"Schinese"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_10_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size" "升级肉钩范围"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_Description" "当前等级: <font color='#FBAF40'>0</font>\n当前范围: <font color='#FBAF40'>100</font>\n范围升级: <font color='#FBAF40'>15</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_1" "升级肉钩范围 1"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_1_Description" "当前等级: <font color='#FBAF40'>1</font>\n当前范围: <font color='#FBAF40'>115</font>\n范围升级: <font color='#FBAF40'>15</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_1_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_2" "升级肉钩范围 2"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_2_Description" "当前等级: <font color='#FBAF40'>2</font>\n当前范围: <font color='#FBAF40'>130</font>\n范围升级: <font color='#FBAF40'>15</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_2_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_3" "升级肉钩范围 3"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_3_Description" "当前等级: <font color='#FBAF40'>3</font>\n当前范围: <font color='#FBAF40'>145</font>\n范围升级: <font color='#FBAF40'>15</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_3_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_4" "升级肉钩范围 4"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_4_Description" "当前等级: <font color='#FBAF40'>4</font>\n当前范围: <font color='#FBAF40'>160</font>\n范围升级: <font color='#FBAF40'>15</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_4_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_5" "升级肉钩范围 5"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_5_Description" "当前等级: <font color='#FBAF40'>5</font>\n当前范围: <font color='#FBAF40'>175</font>\n范围升级: <font color='#FBAF40'>15</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_5_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_6" "升级肉钩范围 6"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_6_Description" "当前等级: <font color='#FBAF40'>6</font>\n当前范围: <font color='#FBAF40'>190</font>\n范围升级: <font color='#FBAF40'>15</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_6_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_7" "升级肉钩范围 7"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_7_Description" "当前等级: <font color='#FBAF40'>7</font>\n当前范围: <font color='#FBAF40'>205</font>\n范围升级: <font color='#FBAF40'>15</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_7_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_8" "升级肉钩范围 8"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_8_Description" "当前等级: <font color='#FBAF40'>8</font>\n当前范围: <font color='#FBAF40'>220</font>\n范围升级: <font color='#FBAF40'>15</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_8_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_9" "升级肉钩范围 9"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_9_Description" "当前等级: <font color='#FBAF40'>9</font>\n当前范围: <font color='#FBAF40'>235</font>\n范围升级: <font color='#FBAF40'>15</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_9_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_10" "升级肉钩范围 10"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_10_Description" "当前等级: <font color='#FBAF40'>10</font>\n当前范围: <font color='#FBAF40'>250</font>\n范围升级: <font color='#FBAF40'>15</font>\n 当前等级已经是最高等级。"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_size_10_Lore" "升级肉钩的范围，当你有技能点时才可以升级。"
	//All hooks	
		"DOTA_Tooltip_ability_pudge_wars_custom_hook"		"肉钩"
	"DOTA_Tooltip_ability_pudge_wars_custom_hook_Description"		"向一个单位或方向射出血腥的肉钩。勾住第一个遭遇的单位，并将它拖到帕吉身边，如果是敌人的话将造成伤害。
初始距离: <font color='#FBAF40'>1500</font>\n初始速度:  <font color='#FBAF40'>800</font>\n初始范围:  <font color='#FBAF40'>100</font>"
	"DOTA_Tooltip_ability_pudge_wars_custom_hook_Lore"		"属性将取决于你进行何样的升级"

	}
}
